"","Diurnal","Nocturnal","Polyphasic"
"typhlomys_chapensis",0,1,0
"heteromys_desmarestianus",0,1,0
"castor_canadensis",0,1,0
"anomalurus",0,0,1
"pedetes_capensis",0,1,0
"cercopithecus_mitis",1,0,0
"erythrocebus_patas",1,0,0
"chlorocebus_aethiops",1,0,0
"miopithecus_ogouensis",1,0,0
"allenopithecus_nigroviridis",1,0,0
"macaca_arctoides",1,0,0
"rungwecebus_kipunji",1,0,0
"papio_anubis",1,0,0
"theropithecus_gelada",1,0,0
"cercocebus_agilis",1,0,0
"mandrillus_leucophaeus",1,0,0
"presbytis_chrysomelas",1,0,0
"rhinopithecus_avunculus",1,0,0
"simias_concolor",1,0,0
"pygathrix_cinerea",1,0,0
"semnopithecus_entellus",1,0,0
"trachypithecus_auratus",1,0,0
"piliocolobus_badius",1,0,0
"procolobus_verus",1,0,0
"colobus_angolensis",1,0,0
"hylobates_pileatus",1,0,0
"hoolock_hoolock",1,0,0
"symphalangus_syndactylus",1,0,0
"nomascus_concolor",1,0,0
"pan_troglodytes",1,0,0
"homo_sapiens",1,0,0
"gorilla_gorilla",1,0,0
"pongo_abelii",0,0,1
"saguinus_oedipus",1,0,0
"leontopithecus_rosalia",1,0,0
"callithrix_argentata",1,0,0
"callithrix_pygmaea",1,0,0
"callithrix_geoffroyi",1,0,0
"callimico_goeldii",1,0,0
"sapajus_xanthosternos",1,0,0
"cebus_albifrons",1,0,0
"aotus_brumbacki",0,1,0
"ateles_belzebuth",1,0,0
"lagothrix_lagotricha",1,0,0
"lagothrix_poeppigii",1,0,0
"brachyteles_arachnoides",1,0,0
"alouatta_belzebul",1,0,0
"cacajao_calvus",1,0,0
"chiropotes_albinasus",1,0,0
"pithecia_irrorata",1,0,0
"callicebus_personatus",1,0,0
"tarsius_bancanus",0,1,0
"microcebus_mamiratra",0,1,0
"mirza_coquereli",0,1,0
"allocebus_trichotis",0,1,0
"cheirogaleus_major",0,1,0
"lepilemur_dorsalis",0,1,0
"phaner",0,1,0
"eulemur_cinereiceps",0,0,1
"hapalemur_aureus",1,0,0
"prolemur_simus",0,0,1
"lemur_catta",0,0,1
"varecia_rubra",1,0,0
"propithecus_perrieri",1,0,0
"avahi_laniger",0,1,0
"indri_indri",0,1,0
"daubentonia_madagascariensis",0,1,0
"euoticus_elegantulus",0,1,0
"galagoides_orinus",0,1,0
"otolemur_crassicaudatus",0,1,0
"galago_alleni",0,1,0
"nycticebus_bengalensis",0,1,0
"loris_tardigradus",0,1,0
"perodicticus_potto",0,1,0
"arctocebus_aureus",0,1,0
